,Company,Forecast_Period,Num_Days,Mean
0,Apple,1,1,0.5007363770250368
1,Apple,1,5,0.6828908554572272
2,Apple,1,10,0.6316568047337278
3,Apple,1,20,0.575037147102526
4,Apple,1,90,0.5
5,Apple,1,180,0.5104
6,Apple,1,270,0.48327759197324416
7,Apple,5,1,0.4631268436578171
8,Apple,5,5,0.8168389955686853
9,Apple,5,10,0.7748148148148148
10,Apple,5,20,0.6592261904761905
11,Apple,5,90,0.533026113671275
12,Apple,5,180,0.48878205128205127
13,Apple,5,270,0.4489112227805695
14,Apple,10,1,0.47485207100591714
15,Apple,10,5,0.6533333333333333
16,Apple,10,10,0.8605341246290801
17,Apple,10,20,0.7451564828614009
18,Apple,10,90,0.5738461538461539
19,Apple,10,180,0.49919743178170145
20,Apple,10,270,0.5033557046979866
21,Apple,20,1,0.4115898959881129
22,Apple,20,5,0.5401785714285714
23,Apple,20,10,0.5961251862891207
24,Apple,20,20,0.9176646706586826
25,Apple,20,90,0.5332302936630603
26,Apple,20,180,0.5967741935483871
27,Apple,20,270,0.3794266441821248
28,Apple,90,1,0.27607361963190186
29,Apple,90,5,0.3379416282642089
30,Apple,90,10,0.3676923076923077
31,Apple,90,20,0.41731066460587324
32,Apple,90,90,0.9185303514376997
33,Apple,90,180,0.7495826377295493
34,Apple,90,270,0.2937062937062937
35,Apple,180,1,0.1904
36,Apple,180,5,0.20993589743589744
37,Apple,180,10,0.22632423756019263
38,Apple,180,20,0.34516129032258064
39,Apple,180,90,0.49081803005008345
40,Apple,180,180,0.9440559440559441
41,Apple,180,270,0.7302752293577982
42,Apple,270,1,0.24749163879598662
43,Apple,270,5,0.2646566164154104
44,Apple,270,10,0.2684563758389262
45,Apple,270,20,0.4148397976391231
46,Apple,270,90,0.3758741258741259
47,Apple,270,180,0.8550458715596331
48,Apple,270,270,0.9806949806949807
49,Google,1,1,0.44624447717231225
50,Google,1,5,0.6769911504424779
51,Google,1,10,0.6168639053254438
52,Google,1,20,0.586924219910847
53,Google,1,90,0.5414110429447853
