,Forecast_Period,Num_Days,Mean,Median,Min,Max
0,1,1,0.5245949926362298,0.5184094256259205,0.5007363770250368,0.5537555228276878
1,1,5,0.6896755162241888,0.6873156342182891,0.6740412979351033,0.7035398230088495
2,1,10,0.6236686390532544,0.6316568047337278,0.6050295857988166,0.6346153846153846
3,1,20,0.5913818722139673,0.5884101040118871,0.575037147102526,0.6166419019316494
4,1,90,0.5466257668711657,0.5521472392638037,0.5291411042944786,0.5628834355828221
5,1,180,0.528,0.5296,0.4848,0.568
6,1,270,0.5301003344481605,0.5284280936454849,0.4933110367892977,0.5618729096989966
7,5,1,0.5761061946902655,0.5737463126843658,0.5442477876106194,0.5973451327433629
8,5,5,0.7914327917282127,0.7843426883308715,0.7710487444608567,0.8183161004431314
9,5,10,0.7475555555555555,0.7511111111111111,0.7274074074074074,0.7748148148148148
10,5,20,0.656547619047619,0.6577380952380952,0.6354166666666666,0.6815476190476191
11,5,90,0.5861751152073733,0.5775729646697388,0.5560675883256528,0.6144393241167435
12,5,180,0.5685897435897436,0.5721153846153846,0.5240384615384616,0.6073717948717948
13,5,270,0.5336683417085427,0.5544388609715243,0.3819095477386935,0.609715242881072
14,10,1,0.6100591715976331,0.621301775147929,0.5636094674556213,0.6464497041420119
15,10,5,0.666962962962963,0.6533333333333333,0.642962962962963,0.7140740740740741
16,10,10,0.8519287833827893,0.8501483679525222,0.8382789317507419,0.8664688427299704
17,10,20,0.7254843517138599,0.7272727272727273,0.7034277198211625,0.7526080476900149
18,10,90,0.6003076923076923,0.5953846153846154,0.5415384615384615,0.6415384615384615
19,10,180,0.5502407704654896,0.5617977528089888,0.4606741573033708,0.6051364365971108
20,10,270,0.5228187919463088,0.5453020134228188,0.3640939597315436,0.5956375838926175
21,20,1,0.6772659732540862,0.6671619613670133,0.6106983655274889,0.7340267459138187
22,20,5,0.6726190476190477,0.6726190476190477,0.6026785714285714,0.7455357142857143
23,20,10,0.7341281669150522,0.7347242921013413,0.6676602086438153,0.8077496274217586
24,20,20,0.9047904191616767,0.8982035928143712,0.8802395209580839,0.9266467065868264
25,20,90,0.6874806800618238,0.6754250386398764,0.6228748068006182,0.7357032457496137
26,20,180,0.6058064516129033,0.5951612903225807,0.5387096774193548,0.6790322580645162
27,20,270,0.5885328836424958,0.6188870151770658,0.4468802698145025,0.6644182124789207
28,90,1,0.8733128834355828,0.8788343558282209,0.799079754601227,0.950920245398773
29,90,5,0.8626728110599078,0.8709677419354839,0.7757296466973886,0.9293394777265744
30,90,10,0.8449230769230769,0.8584615384615385,0.7461538461538462,0.9046153846153846
31,90,20,0.8160741885625966,0.848531684698609,0.6955177743431221,0.8639876352395672
32,90,90,0.9415335463258786,0.9345047923322684,0.8977635782747604,0.988817891373802
33,90,180,0.7792988313856427,0.7846410684474123,0.666110183639399,0.8881469115191987
34,90,270,0.7576923076923077,0.7937062937062938,0.4877622377622378,0.944055944055944
35,180,1,0.9536,0.9568,0.8992,0.9952
36,180,5,0.951923076923077,0.9567307692307692,0.9006410256410257,0.9871794871794872
37,180,10,0.9495987158908507,0.9566613162118779,0.8940609951845907,0.985553772070626
38,180,20,0.94,0.9548387096774194,0.8790322580645161,0.9806451612903224
39,180,90,0.8203672787979966,0.7829716193656093,0.669449081803005,0.998330550918197
40,180,180,0.9804195804195804,0.9790209790209792,0.965034965034965,1.0
41,180,270,0.9155963302752294,0.9192660550458716,0.7981651376146789,1.0
42,270,1,0.968896321070234,0.9899665551839464,0.8678929765886287,1.0
43,270,5,0.969179229480737,0.9899497487437184,0.8693467336683417,1.0
44,270,10,0.9681208053691275,0.9899328859060402,0.8640939597315436,1.0
45,270,20,0.9541315345699831,0.9865092748735244,0.836424957841484,1.0
46,270,90,0.9318181818181818,0.986013986013986,0.708041958041958,1.0
47,270,180,0.941651376146789,0.9889908256880734,0.7339449541284404,1.0
48,270,270,0.9903474903474903,0.996138996138996,0.9594594594594594,1.0
