,Company,Forecast_Period,Num_Days,Mean
0,Apple,1,1,0.5095729013254786
1,Apple,1,5,0.668141592920354
2,Apple,1,10,0.6331360946745562
3,Apple,1,20,0.5809806835066865
4,Apple,1,90,0.5030674846625767
5,Apple,1,180,0.5008
6,Apple,1,270,0.4866220735785953
7,Apple,5,1,0.48525073746312686
8,Apple,5,5,0.8227474150664698
9,Apple,5,10,0.7688888888888888
10,Apple,5,20,0.6532738095238095
11,Apple,5,90,0.5268817204301075
12,Apple,5,180,0.4951923076923077
13,Apple,5,270,0.4489112227805695
14,Apple,10,1,0.48372781065088755
15,Apple,10,5,0.6711111111111111
16,Apple,10,10,0.8560830860534124
17,Apple,10,20,0.7436661698956781
18,Apple,10,90,0.5861538461538461
19,Apple,10,180,0.5104333868378812
20,Apple,10,270,0.43456375838926176
21,Apple,20,1,0.4264487369985141
22,Apple,20,5,0.6056547619047619
23,Apple,20,10,0.65424739195231
24,Apple,20,20,0.905688622754491
25,Apple,20,90,0.5363214837712519
26,Apple,20,180,0.4435483870967742
27,Apple,20,270,0.3473861720067454
28,Apple,90,1,0.2883435582822086
29,Apple,90,5,0.3579109062980031
30,Apple,90,10,0.4323076923076923
31,Apple,90,20,0.45440494590417313
32,Apple,90,90,0.9281150159744409
33,Apple,90,180,0.4323873121869783
34,Apple,90,270,0.1888111888111888
35,Apple,180,1,0.192
36,Apple,180,5,0.2403846153846154
37,Apple,180,10,0.2680577849117175
38,Apple,180,20,0.3741935483870968
39,Apple,180,90,0.5325542570951586
40,Apple,180,180,0.8723776223776224
41,Apple,180,270,0.43853211009174314
42,Apple,270,1,0.2391304347826087
43,Apple,270,5,0.25963149078726966
44,Apple,270,10,0.34563758389261745
45,Apple,270,20,0.42495784148397975
46,Apple,270,90,0.42832167832167833
47,Apple,270,180,0.8238532110091743
48,Apple,270,270,0.974903474903475
49,Google,1,1,0.46686303387334316
50,Google,1,5,0.6666666666666666
51,Google,1,10,0.6272189349112426
52,Google,1,20,0.575037147102526
53,Google,1,90,0.5368098159509203
54,Google,1,180,0.5056
55,Google,1,270,0.5384615384615384
56,Google,5,1,0.5486725663716814
57,Google,5,5,0.794682422451994
58,Google,5,10,0.7377777777777778
59,Google,5,20,0.6428571428571429
60,Google,5,90,0.543778801843318
61,Google,5,180,0.5208333333333334
62,Google,5,270,0.5376884422110553
63,Google,10,1,0.5724852071005917
64,Google,10,5,0.6459259259259259
