,Forecast_Period,Num_Days,Mean,Median,Min,Max
0,1,1,0.5184094256259205,0.5316642120765832,0.4874815905743741,0.5375552282768777
1,1,5,0.6799410029498525,0.6755162241887905,0.6666666666666666,0.7035398230088495
2,1,10,0.6189349112426036,0.6168639053254438,0.5931952662721893,0.6464497041420119
3,1,20,0.575037147102526,0.5735512630014858,0.5542347696879644,0.6032689450222882
4,1,90,0.5398773006134969,0.5414110429447853,0.5153374233128835,0.558282208588957
5,1,180,0.5344,0.5264,0.496,0.5664
6,1,270,0.5394648829431438,0.5418060200668896,0.5217391304347826,0.560200668896321
7,5,1,0.5533923303834808,0.5486725663716814,0.5162241887905604,0.6002949852507374
8,5,5,0.7778434268833088,0.7784342688330872,0.7429837518463811,0.8138847858197932
9,5,10,0.7386666666666667,0.7407407407407407,0.7214814814814815,0.7614814814814815
10,5,20,0.65625,0.6607142857142857,0.6220238095238095,0.6726190476190477
11,5,90,0.567741935483871,0.565284178187404,0.5453149001536098,0.5852534562211982
12,5,180,0.5512820512820513,0.5528846153846154,0.5,0.6153846153846154
13,5,270,0.5855946398659967,0.5896147403685092,0.5510887772194305,0.6130653266331658
14,10,1,0.6053254437869823,0.621301775147929,0.5650887573964497,0.628698224852071
15,10,5,0.6684444444444445,0.6755555555555556,0.64,0.6859259259259259
16,10,10,0.8335311572700297,0.8219584569732937,0.8189910979228486,0.857566765578635
17,10,20,0.7090909090909091,0.7302533532041728,0.6661698956780924,0.736214605067064
18,10,90,0.5916923076923077,0.5938461538461538,0.5784615384615385,0.6046153846153847
19,10,180,0.5897271268057785,0.5874799357945425,0.5473515248796148,0.6500802568218299
20,10,270,0.5869127516778524,0.587248322147651,0.5469798657718121,0.6359060402684564
21,20,1,0.6778603268945023,0.6656760772659732,0.6017830609212481,0.7444279346210996
22,20,5,0.6794642857142857,0.6681547619047619,0.6443452380952381,0.7395833333333334
23,20,10,0.7269746646795827,0.7213114754098361,0.6959761549925484,0.7645305514157973
24,20,20,0.8811377245508982,0.8832335329341318,0.8532934131736527,0.907185628742515
25,20,90,0.6599690880989181,0.6599690880989181,0.5455950540958269,0.7511591962905718
26,20,180,0.6403225806451612,0.646774193548387,0.5758064516129032,0.7032258064516129
27,20,270,0.624283305227656,0.6273187183811129,0.4822934232715008,0.7234401349072512
28,90,1,0.8733128834355828,0.8788343558282209,0.799079754601227,0.950920245398773
29,90,5,0.8599078341013825,0.880184331797235,0.7711213517665131,0.9385560675883255
30,90,10,0.8316923076923077,0.8784615384615385,0.7446153846153846,0.8861538461538462
31,90,20,0.7777434312210201,0.7867078825347759,0.6460587326120556,0.8856259659969088
32,90,90,0.8891373801916933,0.8977635782747604,0.8019169329073482,0.9696485623003196
33,90,180,0.8,0.8681135225375626,0.6210350584307178,0.8764607679465777
34,90,270,0.7311188811188811,0.8374125874125874,0.25,0.951048951048951
35,180,1,0.9536,0.9568,0.8992,0.9952
36,180,5,0.9477564102564103,0.9567307692307692,0.8717948717948718,0.9935897435897436
37,180,10,0.9335473515248797,0.9566613162118779,0.8138041733547352,0.9887640449438202
38,180,20,0.9048387096774193,0.9193548387096774,0.8096774193548387,0.9564516129032258
39,180,90,0.8480801335559265,0.9181969949916527,0.667779632721202,0.9549248747913188
40,180,180,0.9618881118881119,0.9790209790209792,0.8758741258741258,1.0
41,180,270,0.9570642201834862,0.9688073394495412,0.9211009174311928,1.0
42,270,1,0.968896321070234,0.9899665551839464,0.8678929765886287,1.0
43,270,5,0.9678391959798994,0.9899497487437184,0.8626465661641541,1.0
44,270,10,0.9563758389261745,0.9899328859060402,0.8070469798657718,1.0
45,270,20,0.9446880269814502,0.9865092748735244,0.7706576728499157,1.0
46,270,90,0.9073426573426573,0.986013986013986,0.6013986013986014,1.0
47,270,180,0.9544954128440367,0.9889908256880734,0.7981651376146789,1.0
48,270,270,0.9891891891891892,0.998069498069498,0.9555984555984556,1.0
