,Company,Forecast_Period,Num_Days,Mean
0,Apple,1,1,0.5272459499263623
1,Apple,1,5,0.6873156342182891
2,Apple,1,10,0.6227810650887574
3,Apple,1,20,0.5854383358098069
4,Apple,1,90,0.5444785276073619
5,Apple,1,180,0.5184
6,Apple,1,270,0.49331103678929766
7,Apple,5,1,0.5737463126843658
8,Apple,5,5,0.8257016248153619
9,Apple,5,10,0.7792592592592592
10,Apple,5,20,0.6681547619047619
11,Apple,5,90,0.6190476190476191
12,Apple,5,180,0.5544871794871795
13,Apple,5,270,0.4639865996649916
14,Apple,10,1,0.5872781065088757
15,Apple,10,5,0.7392592592592593
16,Apple,10,10,0.8798219584569733
17,Apple,10,20,0.7466467958271237
18,Apple,10,90,0.64
19,Apple,10,180,0.5730337078651685
20,Apple,10,270,0.5486577181208053
21,Apple,20,1,0.6567607726597325
22,Apple,20,5,0.6785714285714286
23,Apple,20,10,0.7481371087928465
24,Apple,20,20,0.9131736526946108
25,Apple,20,90,0.6955177743431221
26,Apple,20,180,0.6193548387096774
27,Apple,20,270,0.5952782462057336
28,Apple,90,1,0.8512269938650306
29,Apple,90,5,0.8509984639016898
30,Apple,90,10,0.8353846153846154
31,Apple,90,20,0.8299845440494591
32,Apple,90,90,0.9648562300319489
33,Apple,90,180,0.7762938230383973
34,Apple,90,270,0.6853146853146853
35,Apple,180,1,0.8992
36,Apple,180,5,0.9006410256410257
37,Apple,180,10,0.8876404494382022
38,Apple,180,20,0.8870967741935484
39,Apple,180,90,0.9115191986644408
40,Apple,180,180,0.986013986013986
41,Apple,180,270,0.8220183486238533
42,Apple,270,1,0.8678929765886287
43,Apple,270,5,0.8693467336683417
44,Apple,270,10,0.8557046979865772
45,Apple,270,20,0.8414839797639123
46,Apple,270,90,0.8898601398601399
47,Apple,270,180,0.926605504587156
48,Apple,270,270,0.9671814671814671
49,Google,1,1,0.5022091310751104
50,Google,1,5,0.6873156342182891
51,Google,1,10,0.6094674556213018
52,Google,1,20,0.5973254086181278
53,Google,1,90,0.5429447852760736
54,Google,1,180,0.5328
55,Google,1,270,0.5434782608695652
56,Google,5,1,0.5678466076696165
57,Google,5,5,0.8035450516986706
58,Google,5,10,0.7525925925925926
59,Google,5,20,0.6502976190476191
60,Google,5,90,0.5852534562211982
61,Google,5,180,0.5368589743589743
62,Google,5,270,0.525963149078727
63,Google,10,1,0.5636094674556213
64,Google,10,5,0.6592592592592592
65,Google,10,10,0.8501483679525222
66,Google,10,20,0.7019374068554396
67,Google,10,90,0.6046153846153847
68,Google,10,180,0.5971107544141252
69,Google,10,270,0.540268456375839
70,Google,20,1,0.6077265973254086
71,Google,20,5,0.625
72,Google,20,10,0.7093889716840537
73,Google,20,20,0.8997005988023952
74,Google,20,90,0.6939721792890263
75,Google,20,180,0.6274193548387097
76,Google,20,270,0.5868465430016864
77,Google,90,1,0.799079754601227
78,Google,90,5,0.794162826420891
79,Google,90,10,0.7707692307692308
80,Google,90,20,0.7156105100463679
81,Google,90,90,0.9440894568690096
82,Google,90,180,0.8163606010016694
83,Google,90,270,0.8234265734265734
84,Google,180,1,0.9296
85,Google,180,5,0.9294871794871795
86,Google,180,10,0.9197431781701445
87,Google,180,20,0.9290322580645162
88,Google,180,90,0.8948247078464107
89,Google,180,180,0.9790209790209791
90,Google,180,270,0.9504587155963303
91,Google,270,1,0.9899665551839465
92,Google,270,5,0.9899497487437185
93,Google,270,10,0.9899328859060402
94,Google,270,20,0.9898819561551433
95,Google,270,90,0.9895104895104895
96,Google,270,180,0.9889908256880734
97,Google,270,270,0.9922779922779923
98,Amazon,1,1,0.48748159057437407
99,Amazon,1,5,0.7020648967551623
100,Amazon,1,10,0.6183431952662722
101,Amazon,1,20,0.5988112927191679
102,Amazon,1,90,0.5613496932515337
103,Amazon,1,180,0.5504
104,Amazon,1,270,0.5451505016722408
105,Amazon,5,1,0.612094395280236
106,Amazon,5,5,0.8079763663220089
107,Amazon,5,10,0.7570370370370371
108,Amazon,5,20,0.6889880952380952
109,Amazon,5,90,0.642089093701997
110,Amazon,5,180,0.5464743589743589
111,Amazon,5,270,0.609715242881072
112,Amazon,10,1,0.6449704142011834
113,Amazon,10,5,0.6874074074074074
114,Amazon,10,10,0.8724035608308606
115,Amazon,10,20,0.7734724292101341
116,Amazon,10,90,0.64
117,Amazon,10,180,0.5441412520064205
118,Amazon,10,270,0.6325503355704698
119,Amazon,20,1,0.7488855869242199
120,Amazon,20,5,0.78125
121,Amazon,20,10,0.8211624441132638
122,Amazon,20,20,0.9281437125748503
123,Amazon,20,90,0.6646058732612056
124,Amazon,20,180,0.6290322580645161
125,Amazon,20,270,0.7200674536256324
126,Amazon,90,1,0.8788343558282209
127,Amazon,90,5,0.8771121351766513
128,Amazon,90,10,0.8630769230769231
129,Amazon,90,20,0.8717156105100463
130,Amazon,90,90,0.9440894568690096
131,Amazon,90,180,0.9115191986644408
132,Amazon,90,270,0.7202797202797203
133,Amazon,180,1,0.9872
134,Amazon,180,5,0.9871794871794872
135,Amazon,180,10,0.9871589085072231
136,Amazon,180,20,0.9838709677419355
137,Amazon,180,90,0.9833055091819699
138,Amazon,180,180,0.9895104895104895
139,Amazon,180,270,0.9706422018348624
140,Amazon,270,1,1.0
141,Amazon,270,5,1.0
142,Amazon,270,10,1.0
143,Amazon,270,20,1.0
144,Amazon,270,90,0.9982517482517482
145,Amazon,270,180,1.0
146,Amazon,270,270,1.0
147,Microsoft,1,1,0.5022091310751104
148,Microsoft,1,5,0.672566371681416
149,Microsoft,1,10,0.6153846153846154
150,Microsoft,1,20,0.5765230312035661
151,Microsoft,1,90,0.5352760736196319
152,Microsoft,1,180,0.52
153,Microsoft,1,270,0.5183946488294314
154,Microsoft,5,1,0.5929203539823009
155,Microsoft,5,5,0.7680945347119645
156,Microsoft,5,10,0.7422222222222222
157,Microsoft,5,20,0.65625
158,Microsoft,5,90,0.5960061443932412
159,Microsoft,5,180,0.5673076923076923
160,Microsoft,5,270,0.5561139028475712
161,Microsoft,10,1,0.628698224852071
162,Microsoft,10,5,0.6888888888888889
163,Microsoft,10,10,0.8486646884272997
164,Microsoft,10,20,0.7198211624441133
165,Microsoft,10,90,0.6169230769230769
166,Microsoft,10,180,0.608346709470305
167,Microsoft,10,270,0.5503355704697986
168,Microsoft,20,1,0.7325408618127786
169,Microsoft,20,5,0.7023809523809523
170,Microsoft,20,10,0.7451564828614009
171,Microsoft,20,20,0.874251497005988
172,Microsoft,20,90,0.7527047913446677
173,Microsoft,20,180,0.6096774193548387
174,Microsoft,20,270,0.7588532883642496
175,Microsoft,90,1,0.950920245398773
176,Microsoft,90,5,0.9385560675883257
177,Microsoft,90,10,0.9076923076923077
178,Microsoft,90,20,0.8918083462132921
179,Microsoft,90,90,0.9888178913738019
180,Microsoft,90,180,0.8898163606010017
181,Microsoft,90,270,0.9458041958041958
182,Microsoft,180,1,0.9952
183,Microsoft,180,5,0.9951923076923077
184,Microsoft,180,10,0.9951845906902087
185,Microsoft,180,20,0.9967741935483871
186,Microsoft,180,90,0.998330550918197
187,Microsoft,180,180,1.0
188,Microsoft,180,270,1.0
189,Microsoft,270,1,1.0
190,Microsoft,270,5,1.0
191,Microsoft,270,10,1.0
192,Microsoft,270,20,1.0
193,Microsoft,270,90,1.0
194,Microsoft,270,180,1.0
195,Microsoft,270,270,1.0
196,DJIA,1,1,0.5346097201767305
197,DJIA,1,5,0.6976401179941003
198,DJIA,1,10,0.6331360946745562
199,DJIA,1,20,0.6166419019316494
200,DJIA,1,90,0.5414110429447853
201,DJIA,1,180,0.5568
202,DJIA,1,270,0.5484949832775919
203,DJIA,5,1,0.5973451327433629
204,DJIA,5,5,0.7799113737075333
205,DJIA,5,10,0.7274074074074074
206,DJIA,5,20,0.6770833333333334
207,DJIA,5,90,0.6021505376344086
208,DJIA,5,180,0.6073717948717948
209,DJIA,5,270,0.5695142378559463
210,DJIA,10,1,0.621301775147929
211,DJIA,10,5,0.6518518518518519
212,DJIA,10,10,0.8382789317507419
213,DJIA,10,20,0.7332339791356185
214,DJIA,10,90,0.6323076923076923
215,DJIA,10,180,0.622792937399679
216,DJIA,10,270,0.5234899328859061
217,DJIA,20,1,0.6671619613670133
218,DJIA,20,5,0.6666666666666666
219,DJIA,20,10,0.7377049180327869
220,DJIA,20,20,0.8937125748502994
221,DJIA,20,90,0.7341576506955177
222,DJIA,20,180,0.6403225806451613
223,DJIA,20,270,0.6239460370994941
224,DJIA,90,1,0.8865030674846626
225,DJIA,90,5,0.8863287250384024
226,DJIA,90,10,0.8861538461538462
227,DJIA,90,20,0.8856259659969088
228,DJIA,90,90,0.9728434504792333
229,DJIA,90,180,0.7879799666110183
230,DJIA,90,270,0.8076923076923077
231,DJIA,180,1,0.9568
232,DJIA,180,5,0.9567307692307693
233,DJIA,180,10,0.956661316211878
234,DJIA,180,20,0.9564516129032258
235,DJIA,180,90,0.9549248747913188
236,DJIA,180,180,0.9790209790209791
237,DJIA,180,270,0.8752293577981651
238,DJIA,270,1,0.9866220735785953
239,DJIA,270,5,0.9865996649916248
240,DJIA,270,10,0.9865771812080537
241,DJIA,270,20,0.9865092748735245
242,DJIA,270,90,0.986013986013986
243,DJIA,270,180,0.9853211009174312
244,DJIA,270,270,0.9980694980694981
