,Company,Forecast_Period,Num_Days,Mean
0,Apple,1,1,0.5022091310751104
1,Apple,1,5,0.6755162241887905
2,Apple,1,10,0.6168639053254438
3,Apple,1,20,0.5735512630014858
4,Apple,1,90,0.5414110429447853
5,Apple,1,180,0.496
6,Apple,1,270,0.5267558528428093
7,Apple,5,1,0.5619469026548672
8,Apple,5,5,0.8138847858197932
9,Apple,5,10,0.7614814814814815
10,Apple,5,20,0.6607142857142857
11,Apple,5,90,0.5453149001536098
12,Apple,5,180,0.5
13,Apple,5,270,0.5778894472361809
14,Apple,10,1,0.5828402366863905
15,Apple,10,5,0.6859259259259259
16,Apple,10,10,0.857566765578635
17,Apple,10,20,0.736214605067064
18,Apple,10,90,0.5784615384615385
19,Apple,10,180,0.5682182985553772
20,Apple,10,270,0.587248322147651
21,Apple,20,1,0.6537890044576523
22,Apple,20,5,0.6443452380952381
23,Apple,20,10,0.7168405365126677
24,Apple,20,20,0.8907185628742516
25,Apple,20,90,0.5455950540958269
26,Apple,20,180,0.5758064516129032
27,Apple,20,270,0.6677908937605397
28,Apple,90,1,0.8512269938650306
29,Apple,90,5,0.8233486943164362
30,Apple,90,10,0.7630769230769231
31,Apple,90,20,0.7604327666151468
32,Apple,90,90,0.8019169329073482
33,Apple,90,180,0.6210350584307178
34,Apple,90,270,0.25
35,Apple,180,1,0.8992
36,Apple,180,5,0.8717948717948718
37,Apple,180,10,0.8138041733547352
38,Apple,180,20,0.8096774193548387
39,Apple,180,90,0.7629382303839732
40,Apple,180,180,0.8758741258741258
41,Apple,180,270,0.9688073394495413
42,Apple,270,1,0.8678929765886287
43,Apple,270,5,0.8626465661641541
44,Apple,270,10,0.8070469798657718
45,Apple,270,20,0.7706576728499157
46,Apple,270,90,0.6013986013986014
47,Apple,270,180,0.7981651376146789
48,Apple,270,270,0.9555984555984556
49,Google,1,1,0.5375552282768777
50,Google,1,5,0.6666666666666666
51,Google,1,10,0.606508875739645
52,Google,1,20,0.5586924219910847
53,Google,1,90,0.5429447852760736
54,Google,1,180,0.5264
55,Google,1,270,0.5418060200668896
56,Google,5,1,0.5486725663716814
57,Google,5,5,0.7784342688330872
58,Google,5,10,0.7422222222222222
59,Google,5,20,0.6592261904761905
60,Google,5,90,0.5852534562211982
61,Google,5,180,0.5560897435897436
62,Google,5,270,0.5510887772194305
63,Google,10,1,0.5650887573964497
64,Google,10,5,0.6859259259259259
65,Google,10,10,0.8189910979228486
66,Google,10,20,0.6661698956780924
67,Google,10,90,0.5938461538461538
68,Google,10,180,0.5955056179775281
69,Google,10,270,0.5604026845637584
70,Google,20,1,0.6017830609212481
71,Google,20,5,0.6443452380952381
72,Google,20,10,0.6959761549925484
73,Google,20,20,0.8712574850299402
74,Google,20,90,0.6537867078825348
75,Google,20,180,0.646774193548387
76,Google,20,270,0.627318718381113
77,Google,90,1,0.799079754601227
78,Google,90,5,0.7711213517665131
79,Google,90,10,0.7446153846153846
80,Google,90,20,0.6460587326120556
81,Google,90,90,0.8242811501597445
82,Google,90,180,0.7579298831385642
83,Google,90,270,0.7552447552447552
84,Google,180,1,0.9296
85,Google,180,5,0.9294871794871795
86,Google,180,10,0.9293739967897271
87,Google,180,20,0.882258064516129
88,Google,180,90,0.667779632721202
89,Google,180,180,0.9685314685314685
90,Google,180,270,0.9247706422018349
91,Google,270,1,0.9899665551839465
92,Google,270,5,0.9899497487437185
93,Google,270,10,0.9899328859060402
94,Google,270,20,0.9898819561551433
95,Google,270,90,0.9493006993006993
96,Google,270,180,0.9889908256880734
97,Google,270,270,0.9922779922779923
98,Amazon,1,1,0.48748159057437407
99,Amazon,1,5,0.7035398230088495
100,Amazon,1,10,0.6316568047337278
101,Amazon,1,20,0.5854383358098069
102,Amazon,1,90,0.558282208588957
103,Amazon,1,180,0.5664
104,Amazon,1,270,0.560200668896321
105,Amazon,5,1,0.5162241887905604
106,Amazon,5,5,0.7872968980797637
107,Amazon,5,10,0.7407407407407407
108,Amazon,5,20,0.6726190476190477
109,Amazon,5,90,0.5821812596006144
110,Amazon,5,180,0.6153846153846154
111,Amazon,5,270,0.6130653266331658
112,Amazon,10,1,0.628698224852071
113,Amazon,10,5,0.64
114,Amazon,10,10,0.8486646884272997
115,Amazon,10,20,0.736214605067064
116,Amazon,10,90,0.6046153846153847
117,Amazon,10,180,0.6500802568218299
118,Amazon,10,270,0.6359060402684564
119,Amazon,20,1,0.7444279346210996
120,Amazon,20,5,0.7395833333333334
121,Amazon,20,10,0.7645305514157973
122,Amazon,20,20,0.907185628742515
123,Amazon,20,90,0.7511591962905718
124,Amazon,20,180,0.7032258064516129
125,Amazon,20,270,0.7234401349072512
126,Amazon,90,1,0.8788343558282209
127,Amazon,90,5,0.880184331797235
128,Amazon,90,10,0.8784615384615385
129,Amazon,90,20,0.7867078825347759
130,Amazon,90,90,0.8977635782747604
131,Amazon,90,180,0.8681135225375626
132,Amazon,90,270,0.8618881118881119
133,Amazon,180,1,0.9872
134,Amazon,180,5,0.9871794871794872
135,Amazon,180,10,0.9791332263242376
136,Amazon,180,20,0.9564516129032258
137,Amazon,180,90,0.9365609348914858
138,Amazon,180,180,0.986013986013986
139,Amazon,180,270,0.9706422018348624
140,Amazon,270,1,1.0
141,Amazon,270,5,1.0
142,Amazon,270,10,1.0
143,Amazon,270,20,1.0
144,Amazon,270,90,1.0
145,Amazon,270,180,1.0
146,Amazon,270,270,1.0
147,Microsoft,1,1,0.5316642120765832
148,Microsoft,1,5,0.6696165191740413
149,Microsoft,1,10,0.5931952662721893
150,Microsoft,1,20,0.5542347696879644
151,Microsoft,1,90,0.5153374233128835
152,Microsoft,1,180,0.5248
153,Microsoft,1,270,0.5217391304347826
154,Microsoft,5,1,0.5398230088495575
155,Microsoft,5,5,0.7429837518463811
156,Microsoft,5,10,0.7274074074074074
157,Microsoft,5,20,0.6220238095238095
158,Microsoft,5,90,0.5606758832565284
159,Microsoft,5,180,0.532051282051282
160,Microsoft,5,270,0.5896147403685092
161,Microsoft,10,1,0.628698224852071
162,Microsoft,10,5,0.6755555555555556
163,Microsoft,10,10,0.8219584569732937
164,Microsoft,10,20,0.676602086438152
165,Microsoft,10,90,0.6
166,Microsoft,10,180,0.5473515248796148
167,Microsoft,10,270,0.5469798657718121
168,Microsoft,20,1,0.7236255572065379
169,Microsoft,20,5,0.7008928571428571
170,Microsoft,20,10,0.736214605067064
171,Microsoft,20,20,0.8532934131736527
172,Microsoft,20,90,0.6893353941267388
173,Microsoft,20,180,0.6693548387096774
174,Microsoft,20,270,0.4822934232715008
175,Microsoft,90,1,0.950920245398773
176,Microsoft,90,5,0.9385560675883257
177,Microsoft,90,10,0.8861538461538462
178,Microsoft,90,20,0.8098918083462133
179,Microsoft,90,90,0.9696485623003195
180,Microsoft,90,180,0.8764607679465777
181,Microsoft,90,270,0.951048951048951
182,Microsoft,180,1,0.9952
183,Microsoft,180,5,0.9935897435897436
184,Microsoft,180,10,0.9887640449438202
185,Microsoft,180,20,0.9193548387096774
186,Microsoft,180,90,0.9181969949916527
187,Microsoft,180,180,1.0
188,Microsoft,180,270,1.0
189,Microsoft,270,1,1.0
190,Microsoft,270,5,1.0
191,Microsoft,270,10,0.9983221476510067
192,Microsoft,270,20,0.9763912310286678
193,Microsoft,270,90,1.0
194,Microsoft,270,180,1.0
195,Microsoft,270,270,1.0
196,DJIA,1,1,0.5331369661266568
197,DJIA,1,5,0.6843657817109144
198,DJIA,1,10,0.6464497041420119
199,DJIA,1,20,0.6032689450222882
200,DJIA,1,90,0.5414110429447853
201,DJIA,1,180,0.5584
202,DJIA,1,270,0.5468227424749164
203,DJIA,5,1,0.6002949852507374
204,DJIA,5,5,0.7666174298375185
205,DJIA,5,10,0.7214814814814815
206,DJIA,5,20,0.6666666666666666
207,DJIA,5,90,0.565284178187404
208,DJIA,5,180,0.5528846153846154
209,DJIA,5,270,0.5963149078726968
210,DJIA,10,1,0.621301775147929
211,DJIA,10,5,0.6548148148148148
212,DJIA,10,10,0.8204747774480712
213,DJIA,10,20,0.7302533532041728
214,DJIA,10,90,0.5815384615384616
215,DJIA,10,180,0.5874799357945425
216,DJIA,10,270,0.6040268456375839
217,DJIA,20,1,0.6656760772659732
218,DJIA,20,5,0.6681547619047619
219,DJIA,20,10,0.7213114754098361
220,DJIA,20,20,0.8832335329341318
221,DJIA,20,90,0.6599690880989181
222,DJIA,20,180,0.6064516129032258
223,DJIA,20,270,0.6205733558178752
224,DJIA,90,1,0.8865030674846626
225,DJIA,90,5,0.8863287250384024
226,DJIA,90,10,0.8861538461538462
227,DJIA,90,20,0.8856259659969088
228,DJIA,90,90,0.952076677316294
229,DJIA,90,180,0.8764607679465777
230,DJIA,90,270,0.8374125874125874
231,DJIA,180,1,0.9568
232,DJIA,180,5,0.9567307692307693
233,DJIA,180,10,0.956661316211878
234,DJIA,180,20,0.9564516129032258
235,DJIA,180,90,0.9549248747913188
236,DJIA,180,180,0.9790209790209791
237,DJIA,180,270,0.9211009174311927
238,DJIA,270,1,0.9866220735785953
239,DJIA,270,5,0.9865996649916248
240,DJIA,270,10,0.9865771812080537
241,DJIA,270,20,0.9865092748735245
242,DJIA,270,90,0.986013986013986
243,DJIA,270,180,0.9853211009174312
244,DJIA,270,270,0.9980694980694981
